Time (Sec);S101;S102;S103;S104;S105;S106;S107;S108;S109;S110;S111;S112;S113;S114;S115;S116;S117;S118;S119;S120;S121;S122;S123;S124;S125;S126;S127;S128;S129;S130;S131;S132;S133;S134;S135;S136;S137;S138;S139;S140;S141;S142;S143;S144;S145;S146;S147;S148;S149;S150;S151;S152;S153;S154;S155;S156;S157;S158;S159;S160;S161;S162;S163;S164;S165;S166;S167;S168;S169;S170;S171;S172;S173;S174;S175;S176;S177;S178;S179;S180;S181;S182;S183;S184;S185;S186;S187;S188;S189;S190;S191;S192;S193;S194;S195;S196;S197;S198;S199;S200;
0.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;
0.5174706666666666;16184.0;16736.0;16688.0;17648.0;17384.0;17864.0;16880.0;16832.0;15848.0;18080.0;14624.0;17432.0;17624.0;15920.0;17864.0;16952.0;16784.0;16376.0;17192.0;17000.0;17624.0;15896.0;15152.0;15104.0;16880.0;18080.0;16664.0;16688.0;15128.0;16064.0;16928.0;18296.0;16136.0;15728.0;15632.0;17216.0;16856.0;17000.0;15944.0;16712.0;17432.0;16376.0;16736.0;15872.0;16424.0;16064.0;17648.0;17864.0;17168.0;16208.0;16376.0;15176.0;16376.0;15176.0;16976.0;16352.0;16376.0;16400.0;16832.0;15824.0;16712.0;17000.0;16688.0;14912.0;16952.0;16088.0;16616.0;16064.0;18080.0;17648.0;17864.0;17384.0;16640.0;16616.0;15632.0;16136.0;17864.0;17432.0;17096.0;17192.0;18272.0;17648.0;15848.0;17216.0;16664.0;18080.0;15992.0;17432.0;16928.0;17216.0;17336.0;17000.0;15872.0;17000.0;15368.0;17384.0;17624.0;16616.0;17432.0;16688.0;
1.0174706666666666;16184.0;16736.0;16688.0;17648.0;17384.0;17864.0;16880.0;16832.0;15848.0;18080.0;14624.0;17432.0;17624.0;15920.0;17864.0;16952.0;16784.0;16376.0;17192.0;17000.0;17624.0;15896.0;15152.0;15104.0;16880.0;18080.0;16664.0;16688.0;15128.0;16064.0;16928.0;18296.0;16136.0;15728.0;15632.0;17216.0;16856.0;17000.0;15944.0;16712.0;17432.0;16376.0;16736.0;15872.0;16424.0;16064.0;17648.0;17864.0;17168.0;16208.0;16376.0;15176.0;16376.0;15176.0;16976.0;16352.0;16376.0;16400.0;16832.0;15824.0;16712.0;17000.0;16688.0;14912.0;16952.0;16088.0;16616.0;16064.0;18080.0;17648.0;17864.0;17384.0;16640.0;16616.0;15632.0;16136.0;17864.0;17432.0;17096.0;17192.0;18272.0;17648.0;15848.0;17216.0;16664.0;18080.0;15992.0;17432.0;16928.0;17216.0;17336.0;17000.0;15872.0;17000.0;15368.0;17384.0;17624.0;16616.0;17432.0;16688.0;
1.5174706666666666;16184.0;16736.0;16688.0;17648.0;17384.0;17864.0;16880.0;16832.0;15848.0;18080.0;14624.0;17432.0;17624.0;15920.0;17864.0;16952.0;16784.0;16376.0;17192.0;17000.0;17624.0;15896.0;15152.0;15104.0;16880.0;18080.0;16664.0;16688.0;15128.0;16064.0;16928.0;18296.0;16136.0;15728.0;15632.0;17216.0;16856.0;17000.0;15944.0;16712.0;17432.0;16376.0;16736.0;15872.0;16424.0;16064.0;17648.0;17864.0;17168.0;16208.0;16376.0;15176.0;16376.0;15176.0;16976.0;16352.0;16376.0;16400.0;16832.0;15824.0;16712.0;17000.0;16688.0;14912.0;16952.0;16088.0;16616.0;16064.0;18080.0;17648.0;17864.0;17384.0;16640.0;16616.0;15632.0;16136.0;17864.0;17432.0;17096.0;17192.0;18272.0;17648.0;15848.0;17216.0;16664.0;18080.0;15992.0;17432.0;16928.0;17216.0;17336.0;17000.0;15872.0;17000.0;15368.0;17384.0;17624.0;16616.0;17432.0;16688.0;
2.0174706666666666;16184.0;16736.0;16688.0;17648.0;17384.0;17864.0;16880.0;16832.0;15848.0;18080.0;14624.0;17432.0;17624.0;15920.0;17864.0;16952.0;16784.0;16376.0;17192.0;17000.0;17624.0;15896.0;15152.0;15104.0;16880.0;18080.0;16664.0;16688.0;15128.0;16064.0;16928.0;18296.0;16136.0;15728.0;15632.0;17216.0;16856.0;17000.0;15944.0;16712.0;17432.0;16376.0;16736.0;15872.0;16424.0;16064.0;17648.0;17864.0;17168.0;16208.0;16376.0;15176.0;16376.0;15176.0;16976.0;16352.0;16376.0;16400.0;16832.0;15824.0;16712.0;17000.0;16688.0;14912.0;16952.0;16088.0;16616.0;16064.0;18080.0;17648.0;17864.0;17384.0;16640.0;16616.0;15632.0;16136.0;17864.0;17432.0;17096.0;17192.0;18272.0;17648.0;15848.0;17216.0;16664.0;18080.0;15992.0;17432.0;16928.0;17216.0;17336.0;17000.0;15872.0;17000.0;15368.0;17384.0;17624.0;16616.0;17432.0;16688.0;
2.5174706666666666;16184.0;16736.0;16688.0;17648.0;17384.0;17864.0;16880.0;16832.0;15848.0;18080.0;14624.0;17432.0;17624.0;15920.0;17864.0;16952.0;16784.0;16376.0;17192.0;17000.0;17624.0;15896.0;15152.0;15104.0;16880.0;18080.0;16664.0;16688.0;15128.0;16064.0;16928.0;18296.0;16136.0;15728.0;15632.0;17216.0;16856.0;17000.0;15944.0;16712.0;17432.0;16376.0;16736.0;15872.0;16424.0;16064.0;17648.0;17864.0;17168.0;16208.0;16376.0;15176.0;16376.0;15176.0;16976.0;16352.0;16376.0;16400.0;16832.0;15824.0;16712.0;17000.0;16688.0;14912.0;16952.0;16088.0;16616.0;16064.0;18080.0;17648.0;17864.0;17384.0;16640.0;16616.0;15632.0;16136.0;17864.0;17432.0;17096.0;17192.0;18272.0;17648.0;15848.0;17216.0;16664.0;18080.0;15992.0;17432.0;16928.0;17216.0;17336.0;17000.0;15872.0;17000.0;15368.0;17384.0;17624.0;16616.0;17432.0;16688.0;
3.0174706666666666;16184.0;16736.0;16688.0;17648.0;17384.0;17864.0;16880.0;16832.0;15848.0;18080.0;14624.0;17432.0;17624.0;15920.0;17864.0;16952.0;16784.0;16376.0;17192.0;17000.0;17624.0;15896.0;15152.0;15104.0;16880.0;18080.0;16664.0;16688.0;15128.0;16064.0;16928.0;18296.0;16136.0;15728.0;15632.0;17216.0;16856.0;17000.0;15944.0;16712.0;17432.0;16376.0;16736.0;15872.0;16424.0;16064.0;17648.0;17864.0;17168.0;16208.0;16376.0;15176.0;16376.0;15176.0;16976.0;16352.0;16376.0;16400.0;16832.0;15824.0;16712.0;17000.0;16688.0;14912.0;16952.0;16088.0;16616.0;16064.0;18080.0;17648.0;17864.0;17384.0;16640.0;16616.0;15632.0;16136.0;17864.0;17432.0;17096.0;17192.0;18272.0;17648.0;15848.0;17216.0;16664.0;18080.0;15992.0;17432.0;16928.0;17216.0;17336.0;17000.0;15872.0;17000.0;15368.0;17384.0;17624.0;16616.0;17432.0;16688.0;
3.5174706666666666;16184.0;16736.0;16688.0;17648.0;17384.0;17864.0;16880.0;16832.0;15848.0;18080.0;14624.0;17432.0;17624.0;15920.0;17864.0;16952.0;16784.0;16376.0;17192.0;17000.0;17624.0;15896.0;15152.0;15104.0;16880.0;18080.0;16664.0;16688.0;15128.0;16064.0;16928.0;18296.0;16136.0;15728.0;15632.0;17216.0;16856.0;17000.0;15944.0;16712.0;17432.0;16376.0;16736.0;15872.0;16424.0;16064.0;17648.0;17864.0;17168.0;16208.0;16376.0;15176.0;16376.0;15176.0;16976.0;16352.0;16376.0;16400.0;16832.0;15824.0;16712.0;17000.0;16688.0;14912.0;16952.0;16088.0;16616.0;16064.0;18080.0;17648.0;17864.0;17384.0;16640.0;16616.0;15632.0;16136.0;17864.0;17432.0;17096.0;17192.0;18272.0;17648.0;15848.0;17216.0;16664.0;18080.0;15992.0;17432.0;16928.0;17216.0;17336.0;17000.0;15872.0;17000.0;15368.0;17384.0;17624.0;16616.0;17432.0;16688.0;
4.017470666666666;16184.0;16736.0;16688.0;17648.0;17384.0;17864.0;16880.0;16832.0;15848.0;18080.0;14624.0;17432.0;17624.0;15920.0;17864.0;16952.0;16784.0;16376.0;17192.0;17000.0;17624.0;15896.0;15152.0;15104.0;16880.0;18080.0;16664.0;16688.0;15128.0;16064.0;16928.0;18296.0;16136.0;15728.0;15632.0;17216.0;16856.0;17000.0;15944.0;16712.0;17432.0;16376.0;16736.0;15872.0;16424.0;16064.0;17648.0;17864.0;17168.0;16208.0;16376.0;15176.0;16376.0;15176.0;16976.0;16352.0;16376.0;16400.0;16832.0;15824.0;16712.0;17000.0;16688.0;14912.0;16952.0;16088.0;16616.0;16064.0;18080.0;17648.0;17864.0;17384.0;16640.0;16616.0;15632.0;16136.0;17864.0;17432.0;17096.0;17192.0;18272.0;17648.0;15848.0;17216.0;16664.0;18080.0;15992.0;17432.0;16928.0;17216.0;17336.0;17000.0;15872.0;17000.0;15368.0;17384.0;17624.0;16616.0;17432.0;16688.0;
4.517470666666666;16184.0;16736.0;16688.0;17648.0;17384.0;17864.0;16880.0;16832.0;15848.0;18080.0;14624.0;17432.0;17624.0;15920.0;17864.0;16952.0;16784.0;16376.0;17192.0;17000.0;17624.0;15896.0;15152.0;15104.0;16880.0;18080.0;16664.0;16688.0;15128.0;16064.0;16928.0;18296.0;16136.0;15728.0;15632.0;17216.0;16856.0;17000.0;15944.0;16712.0;17432.0;16376.0;16736.0;15872.0;16424.0;16064.0;17648.0;17864.0;17168.0;16208.0;16376.0;15176.0;16376.0;15176.0;16976.0;16352.0;16376.0;16400.0;16832.0;15824.0;16712.0;17000.0;16688.0;14912.0;16952.0;16088.0;16616.0;16064.0;18080.0;17648.0;17864.0;17384.0;16640.0;16616.0;15632.0;16136.0;17864.0;17432.0;17096.0;17192.0;18272.0;17648.0;15848.0;17216.0;16664.0;18080.0;15992.0;17432.0;16928.0;17216.0;17336.0;17000.0;15872.0;17000.0;15368.0;17384.0;17624.0;16616.0;17432.0;16688.0;
5.017470666666666;16184.0;16736.0;16688.0;17648.0;17384.0;17864.0;16880.0;16832.0;15848.0;18080.0;14624.0;17432.0;17624.0;15920.0;17864.0;16952.0;16784.0;16376.0;17192.0;17000.0;17624.0;15896.0;15152.0;15104.0;16880.0;18080.0;16664.0;16688.0;15128.0;16064.0;16928.0;18296.0;16136.0;15728.0;15632.0;17216.0;16856.0;17000.0;15944.0;16712.0;17432.0;16376.0;16736.0;15872.0;16424.0;16064.0;17648.0;17864.0;17168.0;16208.0;16376.0;15176.0;16376.0;15176.0;16976.0;16352.0;16376.0;16400.0;16832.0;15824.0;16712.0;17000.0;16688.0;14912.0;16952.0;16088.0;16616.0;16064.0;18080.0;17648.0;17864.0;17384.0;16640.0;16616.0;15632.0;16136.0;17864.0;17432.0;17096.0;17192.0;18272.0;17648.0;15848.0;17216.0;16664.0;18080.0;15992.0;17432.0;16928.0;17216.0;17336.0;17000.0;15872.0;17000.0;15368.0;17384.0;17624.0;16616.0;17432.0;16688.0;
5.517470666666666;16184.0;16736.0;16688.0;17648.0;17384.0;17864.0;16880.0;16832.0;15848.0;18080.0;14624.0;17432.0;17624.0;15920.0;17864.0;16952.0;16784.0;16376.0;17192.0;17000.0;17624.0;15896.0;15152.0;15104.0;16880.0;18080.0;16664.0;16688.0;15128.0;16064.0;16928.0;18296.0;16136.0;15728.0;15632.0;17216.0;16856.0;17000.0;15944.0;16712.0;17432.0;16376.0;16736.0;15872.0;16424.0;16064.0;17648.0;17864.0;17168.0;16208.0;16376.0;15176.0;16376.0;15176.0;16976.0;16352.0;16376.0;16400.0;16832.0;15824.0;16712.0;17000.0;16688.0;14912.0;16952.0;16088.0;16616.0;16064.0;18080.0;17648.0;17864.0;17384.0;16640.0;16616.0;15632.0;16136.0;17864.0;17432.0;17096.0;17192.0;18272.0;17648.0;15848.0;17216.0;16664.0;18080.0;15992.0;17432.0;16928.0;17216.0;17336.0;17000.0;15872.0;17000.0;15368.0;17384.0;17624.0;16616.0;17432.0;16688.0;
6.017470666666666;16184.0;16736.0;16688.0;17648.0;17384.0;17864.0;16880.0;16832.0;15848.0;18080.0;14624.0;17432.0;17624.0;15920.0;17864.0;16952.0;16784.0;16376.0;17192.0;17000.0;17624.0;15896.0;15152.0;15104.0;16880.0;18080.0;16664.0;16688.0;15128.0;16064.0;16928.0;18296.0;16136.0;15728.0;15632.0;17216.0;16856.0;17000.0;15944.0;16712.0;17432.0;16376.0;16736.0;15872.0;16424.0;16064.0;17648.0;17864.0;17168.0;16208.0;16376.0;15176.0;16376.0;15176.0;16976.0;16352.0;16376.0;16400.0;16832.0;15824.0;16712.0;17000.0;16688.0;14912.0;16952.0;16088.0;16616.0;16064.0;18080.0;17648.0;17864.0;17384.0;16640.0;16616.0;15632.0;16136.0;17864.0;17432.0;17096.0;17192.0;18272.0;17648.0;15848.0;17216.0;16664.0;18080.0;15992.0;17432.0;16928.0;17216.0;17336.0;17000.0;15872.0;17000.0;15368.0;17384.0;17624.0;16616.0;17432.0;16688.0;
6.517470666666666;16184.0;16736.0;16688.0;17648.0;17384.0;17864.0;16880.0;16832.0;15848.0;18080.0;14624.0;17432.0;17624.0;15920.0;17864.0;16952.0;16784.0;16376.0;17192.0;17000.0;17624.0;15896.0;15152.0;15104.0;16880.0;18080.0;16664.0;16688.0;15128.0;16064.0;16928.0;18296.0;16136.0;15728.0;15632.0;17216.0;16856.0;17000.0;15944.0;16712.0;17432.0;16376.0;16736.0;15872.0;16424.0;16064.0;17648.0;17864.0;17168.0;16208.0;16376.0;15176.0;16376.0;15176.0;16976.0;16352.0;16376.0;16400.0;16832.0;15824.0;16712.0;17000.0;16688.0;14912.0;16952.0;16088.0;16616.0;16064.0;18080.0;17648.0;17864.0;17384.0;16640.0;16616.0;15632.0;16136.0;17864.0;17432.0;17096.0;17192.0;18272.0;17648.0;15848.0;17216.0;16664.0;18080.0;15992.0;17432.0;16928.0;17216.0;17336.0;17000.0;15872.0;17000.0;15368.0;17384.0;17624.0;16616.0;17432.0;16688.0;
7.017470666666666;16184.0;16736.0;16688.0;17648.0;17384.0;17864.0;16880.0;16832.0;15848.0;18080.0;14624.0;17432.0;17624.0;15920.0;17864.0;16952.0;16784.0;16376.0;17192.0;17000.0;17624.0;15896.0;15152.0;15104.0;16880.0;18080.0;16664.0;16688.0;15128.0;16064.0;16928.0;18296.0;16136.0;15728.0;15632.0;17216.0;16856.0;17000.0;15944.0;16712.0;17432.0;16376.0;16736.0;15872.0;16424.0;16064.0;17648.0;17864.0;17168.0;16208.0;16376.0;15176.0;16376.0;15176.0;16976.0;16352.0;16376.0;16400.0;16832.0;15824.0;16712.0;17000.0;16688.0;14912.0;16952.0;16088.0;16616.0;16064.0;18080.0;17648.0;17864.0;17384.0;16640.0;16616.0;15632.0;16136.0;17864.0;17432.0;17096.0;17192.0;18272.0;17648.0;15848.0;17216.0;16664.0;18080.0;15992.0;17432.0;16928.0;17216.0;17336.0;17000.0;15872.0;17000.0;15368.0;17384.0;17624.0;16616.0;17432.0;16688.0;
7.517470666666666;16184.0;16736.0;16688.0;17648.0;17384.0;17864.0;16880.0;16832.0;15848.0;18080.0;14624.0;17432.0;17624.0;15920.0;17864.0;16952.0;16784.0;16376.0;17192.0;17000.0;17624.0;15896.0;15152.0;15104.0;16880.0;18080.0;16664.0;16688.0;15128.0;16064.0;16928.0;18296.0;16136.0;15728.0;15632.0;17216.0;16856.0;17000.0;15944.0;16712.0;17432.0;16376.0;16736.0;15872.0;16424.0;16064.0;17648.0;17864.0;17168.0;16208.0;16376.0;15176.0;16376.0;15176.0;16976.0;16352.0;16376.0;16400.0;16832.0;15824.0;16712.0;17000.0;16688.0;14912.0;16952.0;16088.0;16616.0;16064.0;18080.0;17648.0;17864.0;17384.0;16640.0;16616.0;15632.0;16136.0;17864.0;17432.0;17096.0;17192.0;18272.0;17648.0;15848.0;17216.0;16664.0;18080.0;15992.0;17432.0;16928.0;17216.0;17336.0;17000.0;15872.0;17000.0;15368.0;17384.0;17624.0;16616.0;17432.0;16688.0;
8.017470666666666;16184.0;16736.0;16688.0;17648.0;17384.0;17864.0;16880.0;16832.0;15848.0;18080.0;14624.0;17432.0;17624.0;15920.0;17864.0;16952.0;16784.0;16376.0;17192.0;17000.0;17624.0;15896.0;15152.0;15104.0;16880.0;18080.0;16664.0;16688.0;15128.0;16064.0;16928.0;18296.0;16136.0;15728.0;15632.0;17216.0;16856.0;17000.0;15944.0;16712.0;17432.0;16376.0;16736.0;15872.0;16424.0;16064.0;17648.0;17864.0;17168.0;16208.0;16376.0;15176.0;16376.0;15176.0;16976.0;16352.0;16376.0;16400.0;16832.0;15824.0;16712.0;17000.0;16688.0;14912.0;16952.0;16088.0;16616.0;16064.0;18080.0;17648.0;17864.0;17384.0;16640.0;16616.0;15632.0;16136.0;17864.0;17432.0;17096.0;17192.0;18272.0;17648.0;15848.0;17216.0;16664.0;18080.0;15992.0;17432.0;16928.0;17216.0;17336.0;17000.0;15872.0;17000.0;15368.0;17384.0;17624.0;16616.0;17432.0;16688.0;
